title,descripcion,salario,experience_text,url,company,location,source,salario_numerico,seniority,years_required,skills
Analista Funcional Qa,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Control De Gestión ($2.200.000),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor De Servicio En Tienda De Retail / Ft 44Hrs,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Crm,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor Financiero En Tienda De Retail / 25Hrs Cauquenes,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
"Asesor De Venta En Tienda La Polar,  Puente",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor/A Financiero En Tienda Retial / Antofagasta,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor/A Financiero En Tienda Retial / Puente Alto,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor Financiero En Tienda De Retail / 25Hrs,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Datos / Gcp,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Recursos Humanos Senior,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0,Senior,0,"['Python', 'SQL', 'Machine Learning']"
