web-scraper-order,web-scraper-start-url,titulo,descripcion,salario
"1762091571-1","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Analista de Gestión Comercial (Pricing)","",""
"1762091571-2","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Analista de Master Data SAP","",""
"1762091571-3","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Practica en Soporte tecnico y redes","",""
"1762091571-4","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Supervisor de Operaciones en Terreno","",""
"1762091571-5","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Analista en Digitalización de Procesos","",""
"1762091571-6","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Administrativo de Servicios Mantenimiento","",""
"1762091571-7","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Asistente Logístico","",""
"1762091571-8","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Coordinador/a de Servicios y Calidad en Terreno","",""
"1762091571-9","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Especialista en Operación de Campo sector energético","",""
"1762091571-10","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Especialista en Operación de Campo sector energético","",""
"1762091571-11","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Jefe (a) de turno FM","",""
"1762091571-12","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","COD 10/2025 Coordinador/a de Comunicaciones Internas y Bienestar","",""
"1762091571-13","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Encargado de adquisición e inventario","",""
"1762091571-14","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Desarrollador Full Stack en Javascript 1.5 Líquidos","",""
"1762091571-15","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Asistente de Operaciones Patio","",""
"1762091571-16","https://cl.indeed.com/jobs?q=control+de+gestion+ti&l=Chile&radius=25&from=searchOnDesktopSerp&start=60&vjk=e469e6847ae98580","Jefe de Relaciones Laborales - Atex Resources","",""
