web-scraper-order,web-scraper-start-url,titulo,descripcion,salario
"1762091250-1","https://cl.indeed.com/jobs?q=project+manager+junior&l=Chile&radius=25&from=searchOnDesktopSerp%252Cwhatautocomplete%252CwhatautocompleteSourceStandard&start=10","Structural Engineer 5","",""
"1762091250-2","https://cl.indeed.com/jobs?q=project+manager+junior&l=Chile&radius=25&from=searchOnDesktopSerp%252Cwhatautocomplete%252CwhatautocompleteSourceStandard&start=10","Senior Automation Tester in JS","",""
"1762091250-3","https://cl.indeed.com/jobs?q=project+manager+junior&l=Chile&radius=25&from=searchOnDesktopSerp%252Cwhatautocomplete%252CwhatautocompleteSourceStandard&start=10","Lead Automation Tester in JS","",""
"1762091250-4","https://cl.indeed.com/jobs?q=project+manager+junior&l=Chile&radius=25&from=searchOnDesktopSerp%252Cwhatautocomplete%252CwhatautocompleteSourceStandard&start=10","Lead Automation Tester in JS","",""
"1762091250-5","https://cl.indeed.com/jobs?q=project+manager+junior&l=Chile&radius=25&from=searchOnDesktopSerp%252Cwhatautocomplete%252CwhatautocompleteSourceStandard&start=10","Senior Project Technical Leader - Water Group","",""
"1762091250-6","https://cl.indeed.com/jobs?q=project+manager+junior&l=Chile&radius=25&from=searchOnDesktopSerp%252Cwhatautocomplete%252CwhatautocompleteSourceStandard&start=10","Data Center Logistics Manager - Onsite","",""
"1762091250-7","https://cl.indeed.com/jobs?q=project+manager+junior&l=Chile&radius=25&from=searchOnDesktopSerp%252Cwhatautocomplete%252CwhatautocompleteSourceStandard&start=10","CRA II (Multi-sponsor) - Chile Home Based","",""
"1762091250-8","https://cl.indeed.com/jobs?q=project+manager+junior&l=Chile&radius=25&from=searchOnDesktopSerp%252Cwhatautocomplete%252CwhatautocompleteSourceStandard&start=10","","We are open to candidates living within a commutable distance to the local CDM Smith office in Maitland, Tampa, Jacksonville or Ft. Myers
 
 With general direction, creates structural analyses and designs for reinforced concrete, structural steel, reinforced masonry, and other metal structures of basic to high complexity to meet client project requirements. 
 

    
     Directs the development of models, drawings, and specifications.
     Reviews draft designs for compliance with federal, state and local regulations and signs off on completed designs.
     Coordinates designs with other engineering disciplines.
     Ensures that firm policies and practices are followed on all designs.
     Performs structural condition assessments and confined space entries.
     Contributes to firm's TKM by developing white papers and technical design documentation of new or special case designs, studies, etc.
     Submits technical papers and designs for publishing to technical journals.
     Collaborates with sales staff to create proposals in response to current and potential client requests for proposal (RFPs).
     Reviews draft proposals for adherence to firm, industry, state, local and federal regulations and best practices.
     Meets with current and potential future clients to review their current and future design needs.
     May attend conferences, symposia, etc. to improve the visibility of the firm's products and services in collaboration with applicable sales staff.
     Performs other duties as required.
     Provides technical guidance and training to more junior staff.
     Mentors more junior staff and develops them for future growth within the discipline and firm.
     May supervise the work of junior engineers on project work.
    
 #LI-MO1
   
  
  
   Minimum Qualifications
   
    Bachelor's degree in Civil, Architectural or Structural Engineering or related discipline.
    Professional engineering (PE) license.
    7 years of related experience.
    Domestic and/or international travel may be required. The frequency of travel is contingent on specific duties, responsibilities, and the essential functions of the position, which may vary depending on workload and project demands.
    Equivalent additional directly related experience will be considered in lieu of a degree.
   
  
  
   Certification/License Requirements
   
    Professional Engineer
   
  
  
   Driver's License Requirements
   
    An appropriate and valid driver's license is required.
   
  
  
   Amount of Travel Required
   
    20%
   
  
  
   Skills and Abilities
   
    Strong Knowledge of computer assisted design and drafting (CADD) 3D and 4D software and practices.
    Expert Knowledge of engineer principles of design. Expert Knowledge of Microsoft business software (excel, word, etc.).
    Excellent verbal and written communications skills.
    Strong knowledge of federal, state and local regulations.
    Ability to arrange/layout structural systems and elements for strength, stability, constructability, and construction economy.
    Strong knowledge of engineering analysis/design software (e.g. Revit, STAAD, RISA).
   
  
  
   EEO Statement
   
    We attract the best people in the industry, supporting their efforts to learn and grow. We strive to create a challenging and progressive work environment. We provide career opportunities that span a variety of disciplines and geographic locations, with projects that our employees plan, design, build and operate as diverse as the needs of our clients. CDM Smith is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy, pregnancy related conditions, childbirth and related medical conditions, sexual orientation, gender identity or gender expression), national origin, age, marital status, disability, veteran status, citizenship status, genetic information or any other characteristic protected by applicable law.
   
  
  
   Background Check and Drug Testing Information
   
    CDM Smith Inc. and its divisions and subsidiaries (hereafter collectively referred to as “CDM Smith”) reserves the right to require background checks including criminal, employment, education, licensure, etc. as well as credit and motor vehicle when applicable for certain positions. In addition, CDM Smith may conduct drug testing for designated positions. Background checks are conducted after an offer of employment has been made in the United States. The timing of when background checks will be conducted on candidates for positions outside the United States will vary based on country statutory law but in no case, will the background check precede an interview. CDM Smith will conduct interviews of qualified individuals prior to requesting a criminal background check, and no job application submitted prior to such interview shall inquire into an applicant's criminal history. If this position is subject to a background check for any convictions related to its responsibilities and requirements, employment will be contingent upon successful completion of a background investigation including criminal history. Criminal history will not automatically disqualify a candidate. In addition, during employment individuals may be required by CDM Smith or a CDM Smith client to successfully complete additional background checks, including motor vehicle record as well as drug testing.
   
  
  
   Massachusetts Applicants
   
    It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.
   
  
  
   Agency Disclaimer
   
    All vendors must have a signed CDM Smith Placement Agreement from the CDM Smith Recruitment Center Manager to receive payment for your placement. Verbal or written commitments from any other member of the CDM Smith staff will not be considered binding terms. All unsolicited resumes sent to CDM Smith and any resume submitted to any employee outside of CDM Smith Recruiting Center Team (RCT) will be considered property of CDM Smith. CDM Smith will not be held liable to pay a placement fee.
   
  
  
   Additional Compensation
   
    All bonuses at CDM Smith are discretionary and may or may not apply to this position.
   
  
  
   Business Unit
   
    TSU
   
  
  
   Group
   
    ISO
   
  
  
   Assignment Category
   
    Fulltime-Regular
   
  
  
   Employment Type
   
    Regular
   
  
  
   Visa Sponsorship Available
   
    No - We will not support sponsorship, i.e. H-1B or TN Visas for this position",""
"1762091283-9","https://cl.indeed.com/jobs?q=project+manager+junior&l=Chile&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard&vjk=3f40c0775207500d","Project Manager Junior","",""
"1762091283-10","https://cl.indeed.com/jobs?q=project+manager+junior&l=Chile&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard&vjk=3f40c0775207500d","Project Manager","",""
