web-scraper-order,web-scraper-start-url,titulo,descripcion,salario,experiencia
"1762087546-1","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Business Analyst","","",""
"1762087546-2","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Asesor  Comercial Con Experiencia en Ventas Santiago","","",""
"1762087546-3","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Asesor de servicio en tienda de retail / FT 44hrs","","",""
"1762087546-4","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Analista de ventas","","",""
"1762087546-5","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Sales Analyst","","",""
"1762087546-6","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Business Analyst","","",""
"1762087546-7","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Consultor Funcional TI","","",""
"1762087546-8","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Asesor de servicio en tienda de retail FT","","",""
"1762087546-9","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Asesor de servicio en tienda de retail FT","","",""
"1762087546-10","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Asesor de servicio en tienda de retail / FT 44hrs","","",""
"1762087546-11","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Asesor de servicio en Tienda de Retail Quilpué","","",""
"1762087546-12","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Asesor de servicio en Tienda de Retail ABC","","",""
"1762087546-13","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Analista de Tesoreria","","",""
"1762087546-14","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Asistente Comercial","","",""
"1762087546-15","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Reponedores Nocturnos para supermercado en San Bernardo, fines de semana desde hoy","","",""
"1762087546-16","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Reponedores Nocturnos de supermercado en Buin, desde hoy.","","",""
"1762087546-17","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Asesor Polifuncional tienda ABC La Serena","","",""
"1762087546-18","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Reponedores Nocturnos de supermercado en Paine, ingreso desde Hoy","","",""
"1762087546-19","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Asesor de servicio en tienda de retail FT","","",""
"1762087546-20","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","Asesor de servicio en tienda de retail / FT 44hrs","","",""
"1762087546-21","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","","","$ 1.800.000,00 (Mensual)",""
"1762087546-22","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","","","$ 600.000,00 (Mensual)",""
"1762087546-23","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","","","$ 1.245.000,00 (Mensual)",""
"1762087546-24","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","","","$ 1.245.000,00 (Mensual)",""
"1762087546-25","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","","","$ 1.800.000,00 (Mensual)",""
"1762087546-26","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","","","$ 999.999,00 (Mensual)",""
"1762087546-27","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","","","$ 600.000,00 (Mensual)",""
"1762087546-28","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","","","$ 600.000,00 (Mensual)",""
"1762087546-29","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","","","$ 600.000,00 (Mensual)",""
"1762087546-30","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","","","$ 570.000,00 (Mensual)",""
"1762087546-31","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","","","$ 560.000,00 (Mensual)",""
"1762087546-32","https://cl.computrabajo.com/trabajo-de-analista-de-procesos-de-negocio?p=13","","","$ 11.111.111,00 (Mensual)",""
