web-scraper-order,web-scraper-start-url,titulo,descripcion,salario,experiencia
"1762088091-1","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Analista de Control de Gestión","","",""
"1762088091-2","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Analista de Control de Gestión en RR.HH $1.500.000","","",""
"1762088091-3","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Encargado de Control de Gestión","","",""
"1762088091-4","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Analista de Datos y Control de Gestión Financiero","","",""
"1762088091-5","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Analista de Control de Gestión","","",""
"1762088091-6","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Analista de Control de Gestión","","",""
"1762088091-7","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Asistente de Control de Gestión y Administración","","",""
"1762088091-8","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Analista de Contratos y Control de Gestión","","",""
"1762088091-9","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Responsable de Control de Gestión y Administración","","",""
"1762088091-10","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Analista Control de Gestión","","",""
"1762088091-11","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Ingeniero/a Gestión y Control de Costos Turno 4x3","","",""
"1762088091-12","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Analista Control de Gestión Contable – Rancagua","","",""
"1762088091-13","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Coordinador/a de Estudios y Control de Gestión","","",""
"1762088091-14","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Ingeniero en control de gestión o contador auditor","","",""
"1762088091-15","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Ing. Eléctrico Auditor  y Control de Gestión (Las Condes)","","",""
"1762088091-16","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Asesor Evaluación, Estudios y Control de Gestión","","",""
"1762088091-17","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Asesor de Evaluación y Control de Gestión","","",""
"1762088091-18","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Analista de Control de Gestión","","",""
"1762088091-19","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Asesor de Estudios y Control de Gestión","","",""
"1762088091-20","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","Analista de Stock","","",""
"1762088091-21","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","","","$ 1.800.000,00 (Mensual)",""
"1762088091-22","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","","","$ 1.500.000,00 (Mensual)",""
"1762088091-23","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","","","Presencial y remoto",""
"1762088091-24","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","","","$ 2.000.000,00 (Mensual)",""
"1762088091-25","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","","","$ 1.300.000,00 (Mensual)",""
"1762088091-26","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","","","Presencial y remoto",""
"1762088091-27","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","","","Presencial y remoto",""
"1762088091-28","https://cl.computrabajo.com/trabajo-de-control-de-gestion-ti?p=8","","","Presencial y remoto",""
