web-scraper-order,web-scraper-start-url,titulo,descripcion,salario,experiencia
"1762087242-1","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","Control Interno / Encargado de Guardias Proyecto Easy Cyber Maipú","","",""
"1762087242-2","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","Supervisor de Mantenimiento Eléctrico proyecto 6 meses","","",""
"1762087242-3","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","Ingeniero Supervisor del rubro electrico","","",""
"1762087242-4","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","Supervisor de Transporte y Logística","","",""
"1762087242-5","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","Ingeniero Requerimientos Redes y Telecomunicaciones","","",""
"1762087242-6","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","Supervisor proyecto Team protectores solares","","",""
"1762087242-7","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","Supervisor de Terreno Obras Hidráulicas y Civiles","","",""
"1762087242-8","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","Supervisor Eléctrico","","",""
"1762087242-9","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","Product Manager Planificación y Control / Híbrido 1 día a la semana en Oficina","","",""
"1762087242-10","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","Encargado/a de Planificación y Cuadratura","","",""
"1762087242-11","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","Jefe de Gestión de Calidad y Planificación","","",""
"1762087242-12","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","","","$ 200.000,00 (Mensual)",""
"1762087242-13","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","","","$ 1.111.111,00 (Mensual)",""
"1762087242-14","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","","","$ 1.117.323,00 (Mensual)",""
"1762087242-15","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","","","$ 1.200.000,00 (Mensual)",""
"1762087242-16","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","","","$ 1.400.000,00 (Mensual)",""
"1762087242-17","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","","","$ 1.200.000,00 (Mensual)",""
"1762087242-18","https://cl.computrabajo.com/trabajo-de-project-manager-ti?p=13","","","Remoto",""
