web-scraper-order,web-scraper-start-url,titulo,descripcion,salario,experiencia
"1762086567-1","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","analista contable","","",""
"1762086567-2","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","Analista de Conciliacion Bancaria","","",""
"1762086567-3","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","Analista Tributario","","",""
"1762086567-4","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","Asesor educativo telefónico","","",""
"1762086567-5","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","Analista de Contabilidad y Finanzas (Las Condes)","","",""
"1762086567-6","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","Analista de compras y abastecimiento","","",""
"1762086567-7","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","Analista de Control de Gestión","","",""
"1762086567-8","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","Analista junior de remuneraciones Colina","","",""
"1762086567-9","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","Analista de Compras Senior para Santiago (Reemplazo Pre y Post Natal)","","",""
"1762086567-10","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","Analista de Calidad / Lo Boza","","",""
"1762086567-11","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","...Urgente Analista de Remuneraciones – Rubro Construcción / Excel Intermedio – ERP Nubox...","","",""
"1762086567-12","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","...Urgente Analista de Remuneraciones – Rubro Construcción / Excel Intermedio – ERP Nubox...","","",""
"1762086567-13","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","++Ingreso Urgente Analista de Remuneraciones – Rubro Construcción / Excel Intermedio – ERP Nubox","","",""
"1762086567-14","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","Analista Contable","","",""
"1762086567-15","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","Analista de Control de Marcación de Turnos y Asistencias con Excel Avanzado","","",""
"1762086567-16","https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15","Analista senior de inventarios con experiencia en Retail o CD","","",""
