title,descripcion,salario,experience_text,url,company,location,source,salario_numerico
Asesor educativo telefónico,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0
Analista de Contabilidad y Finanzas (Las Condes),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0
Analista de compras y abastecimiento,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0
Analista de Control de Gestión,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0
Analista junior de remuneraciones Colina,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0
Analista de Compras Senior para Santiago (Reemplazo Pre y Post Natal),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0
Analista de Calidad / Lo Boza,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0
...Urgente Analista de Remuneraciones – Rubro Construcción / Excel Intermedio – ERP Nubox...,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0
++Ingreso Urgente Analista de Remuneraciones – Rubro Construcción / Excel Intermedio – ERP Nubox,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0
Analista de Control de Marcación de Turnos y Asistencias con Excel Avanzado,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0
Analista senior de inventarios con experiencia en Retail o CD,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0
Analista Contable Semi Senior/ San Fernando,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0
Analista Químico Chillán,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0
Analista de Implementación y Soporte ERP,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0
"Analista Contable y de Nómina, Santiago, Las Condes",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0
Asesor de Servicio Automotriz,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0
Analista de Tesorería – Grupo Progestión,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0
Customer Success Manager,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0
Analista de remuneraciones y gestión de personas,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0
Analista Departamento Bienestar.,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0
Analista de remuneraciones,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0
Analista de Satisfacción del Cliente,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0
Analista Técnico de Inventario (Alimentos Congelados),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0
Analista Técnico de Seguridad,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0
Tax Analyst semi senior,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Analista de RR.HH (Rubro Industrial) – Santiago,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Analista de Impuesto con inglés avanzado,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Analista de Impuesto (Tax Analyst),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Tax Analyst,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Analista de Contabilidad,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Consultor Tributario Senior,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Analista junior de Contabilidad,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Analista de Planificación de Ventas,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
"Contador Junior, Analista de Planificación de Ventas",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Analista de Contabilidad Junior,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Analista de Contable con experiencia en tiendas físicas,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Asesor Tributario Senior,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Analista Financiero Corporativo,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Analista de Datos y Procesos,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Analista de logistica y mantenimiento IT,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Analista de Control,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0
Analista de Datos y Automatización,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=12,No especificada,Chile,Computrabajo,0.0
Analista contabilidad,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=12,No especificada,Chile,Computrabajo,0.0
Analista Comercio exterior,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=12,No especificada,Chile,Computrabajo,0.0
Analista senior de inventarios y SQL  con experiencia en Retail o CD,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=12,No especificada,Chile,Computrabajo,0.0
Analista de Facturación,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=12,No especificada,Chile,Computrabajo,0.0
Analista de Repuestos – Maquinaria Pesada – Antofagasta (La Negra),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=12,No especificada,Chile,Computrabajo,0.0
Analista Tesorería Contador,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=12,No especificada,Chile,Computrabajo,0.0
Analista de Remuneraciones,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=12,No especificada,Chile,Computrabajo,0.0
Analista de inventario,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=12,No especificada,Chile,Computrabajo,0.0
Analista para laboratorio,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=12,No especificada,Chile,Computrabajo,0.0
Analista de RR.HH en  Pudahuel,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=12,No especificada,Chile,Computrabajo,0.0
Analista junior de Contabilidad con experiencia de tiendas físicas,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=12,No especificada,Chile,Computrabajo,0.0
Asistente e commerce  Plataformas digitales,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=11,No especificada,Chile,Computrabajo,0.0
Analista de Logistica y Mantenimiento,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=11,No especificada,Chile,Computrabajo,0.0
Analista Químico Chillán (Reemplazo),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=11,No especificada,Chile,Computrabajo,0.0
Analista de compras,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=11,No especificada,Chile,Computrabajo,0.0
Analista de Adquisiciones  en Dispositivos Médicos Ingeniero(a) Industrial,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=11,No especificada,Chile,Computrabajo,0.0
Analista de Impuesto con inglés conversacional,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=11,No especificada,Chile,Computrabajo,0.0
Analista de Facturación $1.000.000 liquidos,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=11,No especificada,Chile,Computrabajo,0.0
Analista Técnico Funcional de ERP,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=11,No especificada,Chile,Computrabajo,0.0
Vendedor Canal Institucional Terreno 1 Millón asegurado,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=11,No especificada,Chile,Computrabajo,0.0
Analista  de Logística con experiencia en Inventarios 745.000 Líquidos,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=11,No especificada,Chile,Computrabajo,0.0
Analista Logistico,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=11,No especificada,Chile,Computrabajo,0.0
Importante Empresa Requiere Integrar a Su Equipo De Trabajo Analista En RRHH,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=11,No especificada,Chile,Computrabajo,0.0
Analista de Cobranza $1.200.000.,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Analista Comex (San Bernardo),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Analista programador ERP Dataflex,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Analista de Compras e Inventario /Lun a vie $1.100.000 líquidos  + colación y bus,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Analista de Compras e Inventario /Lun a vie + colación y bus,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Analista de Remuneraciones y Administración de personas (RRHH) $1.000.000 líquidos,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Analista de Cobranza,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Analista de Existencia,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Analista de Crédito y Cobranza / Lo Barnechea,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Analista de Remuneraciones Jr.,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Analista Contable 5x2/ Calama,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Analista Control de Gestión – Vitacura,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Asesor Prevencionista $1.350.000 Calama,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Analista Contable Maui And Sons,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Analista de Licitaciones,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=10,No especificada,Chile,Computrabajo,0.0
Contador Analista de costos y Existencias,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=9,No especificada,Chile,Computrabajo,0.0
Analista de Facturación y Cobranzas (Calama),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=9,No especificada,Chile,Computrabajo,0.0
Analista Contable Junior Santiago,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=9,No especificada,Chile,Computrabajo,0.0
Analista Contable SAP BO,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=9,No especificada,Chile,Computrabajo,0.0
